config,label,query_id,precision_at_5,latency_ms,top5_budgets
A,vectorial / sin rerank,Q1,1.0,1.9,BUD-2024-045;BUD-2024-045;BUD-2024-090;BUD-2024-045;BUD-2023-131
A,vectorial / sin rerank,Q2,1.0,1.5,BUD-2023-140;BUD-2023-140;BUD-2024-058;BUD-2024-058;BUD-2024-058
A,vectorial / sin rerank,Q3,0.6,1.6,BUD-2024-014;BUD-2024-014;BUD-2024-014;BUD-2024-021;BUD-2024-058
A,vectorial / sin rerank,Q4,1.0,1.5,BUD-2023-099;BUD-2024-102;BUD-2023-099;BUD-2024-102;BUD-2023-099
A,vectorial / sin rerank,Q5,1.0,2.3,BUD-2024-063;BUD-2024-063;BUD-2024-133;BUD-2024-133;BUD-2024-133
B,híbrida (RRF) / sin rerank,Q1,0.6,2.6,BUD-2024-045;BUD-2024-045;BUD-2024-045;BUD-2023-140;BUD-2024-133
B,híbrida (RRF) / sin rerank,Q2,1.0,3.6,BUD-2023-140;BUD-2024-058;BUD-2023-140;BUD-2024-058;BUD-2024-058
B,híbrida (RRF) / sin rerank,Q3,0.6,3.8,BUD-2024-014;BUD-2024-014;BUD-2024-014;BUD-2023-131;BUD-2024-102
B,híbrida (RRF) / sin rerank,Q4,1.0,2.7,BUD-2023-099;BUD-2024-102;BUD-2023-099;BUD-2023-099;BUD-2024-102
B,híbrida (RRF) / sin rerank,Q5,0.8,2.8,BUD-2024-063;BUD-2024-063;BUD-2024-133;BUD-2024-133;BUD-2024-090
C,vectorial / rerank,Q1,1.0,23.7,BUD-2024-045;BUD-2024-045;BUD-2024-045;BUD-2023-131;BUD-2023-131
C,vectorial / rerank,Q2,1.0,23.1,BUD-2023-140;BUD-2024-058;BUD-2023-140;BUD-2024-058;BUD-2024-058
C,vectorial / rerank,Q3,0.6,26.8,BUD-2024-014;BUD-2024-014;BUD-2024-014;BUD-2024-021;BUD-2024-021
C,vectorial / rerank,Q4,1.0,23.2,BUD-2023-099;BUD-2024-102;BUD-2023-099;BUD-2024-102;BUD-2023-099
C,vectorial / rerank,Q5,1.0,23.3,BUD-2024-063;BUD-2024-063;BUD-2024-133;BUD-2024-133;BUD-2024-133
D,híbrida (RRF) / rerank,Q1,1.0,23.9,BUD-2024-045;BUD-2024-045;BUD-2024-045;BUD-2023-131;BUD-2023-131
D,híbrida (RRF) / rerank,Q2,1.0,23.3,BUD-2023-140;BUD-2024-058;BUD-2023-140;BUD-2024-058;BUD-2024-058
D,híbrida (RRF) / rerank,Q3,0.6,28.0,BUD-2024-014;BUD-2024-014;BUD-2024-014;BUD-2024-021;BUD-2023-131
D,híbrida (RRF) / rerank,Q4,1.0,26.5,BUD-2023-099;BUD-2024-102;BUD-2023-099;BUD-2024-102;BUD-2023-099
D,híbrida (RRF) / rerank,Q5,1.0,27.1,BUD-2024-063;BUD-2024-063;BUD-2024-133;BUD-2024-133;BUD-2024-133
